id;name;description;value_type;mandatory;is_multiple
1;hub compelling;Account Lebanon Multi-layered;deposit;false;true
2;Concrete Consultant Cambridgeshire;eco-centric Mouse Agent;instruction emulation;false;true
3;secondary Bike;web-enabled Car;eyeballs Tuvalu;true;false
4;Flats;Profound;quantify;false;true
5;online up;Beauty;Wooden vortals bypassing;true;true
6;Generic Profound;SSL;deposit;true;false
7;indexing JSON;Parkways interfaces open-source;Keyboard Arizona;false;true
8;redundant compress Garden;Alley;Towels deposit Tuvalu;true;true
9;copying open-source;Avon;Shores;false;false
10;invoice Trail Account;Regional XML Down-sized;compress Bedfordshire models;false;false
