id;create_date;created_by;comment;comment_content_type;media_uri;entity;entity_id
1;2022-05-19T14:40:50;Arkansas purple;../fake-data/blob/hipster.png;image/png;visionary monitor;Lead;deposit reintermediate program
2;2022-05-19T12:55:32;Borders COM;../fake-data/blob/hipster.png;image/png;Ridges Sausages;Colombia;synthesize
3;2022-05-19T17:50:39;Savings feed;../fake-data/blob/hipster.png;image/png;application morph;eyeballs Horizontal;Fish
4;2022-05-19T11:41:15;Data Human synthesize;../fake-data/blob/hipster.png;image/png;Analyst;Mississippi;withdrawal
5;2022-05-20T10:57:31;Intelligent District;../fake-data/blob/hipster.png;image/png;Concrete Liaison;Crest bypass;North Orchestrator
6;2022-05-19T22:50:25;data-warehouse Facilitator Keyboard;../fake-data/blob/hipster.png;image/png;Republic;Riel B2B;Inverse firewall one-to-one
7;2022-05-19T18:17:14;Bacon payment bypassing;../fake-data/blob/hipster.png;image/png;payment Enhanced;Keyboard Enterprise-wide Way;quantify Rubber
8;2022-05-19T16:30:17;Fresh generating;../fake-data/blob/hipster.png;image/png;Electronics Beauty;Wyoming product bypass;paradigms global
9;2022-05-19T14:33:12;Direct;../fake-data/blob/hipster.png;image/png;connect;grey;Applications
10;2022-05-19T11:14:57;framework;../fake-data/blob/hipster.png;image/png;wireless Chair;Kip;Avon
