id;delivered_qty;delivery_date;delivered_by;approved_by
1;87540;2022-05-20T06:13:51;Lari Sausages Car;Ball
2;73029;2022-05-20T04:52:42;Bacon Clothing;info-mediaries Practical Shoals
3;51342;2022-05-19T23:53:01;index;Bahrain
4;69089;2022-05-20T09:56:16;Netherlands;national
5;5309;2022-05-19T21:38:18;Berkshire Tasty Norway;programming Account Handcrafted
6;88102;2022-05-19T21:36:53;Diverse;Pataca Infrastructure
7;67793;2022-05-19T17:14:48;granular Tennessee;Technician Accounts e-business
8;38785;2022-05-19T11:58:37;Micronesia Nebraska Loan;24/365
9;25987;2022-05-20T01:37:00;Dynamic Qatar programming;orchid high-level
10;26914;2022-05-20T00:57:44;Rupee;Table transmit
